,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__n_estimators,param_preprocess__num_transform__numimputer__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
245,1.5877761840820312,0.08481327078982887,0.023672103881835938,0.006804263861091717,False,,,150,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 150, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7085201793721974,0.6860986547085202,0.672645739910314,0.6905829596412556,0.672645739910314,0.6860986547085202,0.013302598183131228,74
246,2.1271581172943117,0.05093932047187311,0.036794090270996095,0.008241558447674175,False,,,200,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 200, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7130044843049327,0.6547085201793722,0.6771300448430493,0.6591928251121076,0.6905829596412556,0.6789237668161434,0.021336999557614904,189
247,2.1323638916015626,0.17471867057165805,0.03197641372680664,0.007746627046937795,False,,,200,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 200, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.695067264573991,0.672645739910314,0.6771300448430493,0.6860986547085202,0.6636771300448431,0.6789237668161435,0.0108368125323718,183
248,3.0861809730529783,0.7440106354861831,0.044814252853393556,0.013898531273710055,False,,,300,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 300, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7085201793721974,0.6860986547085202,0.6771300448430493,0.6636771300448431,0.672645739910314,0.6816143497757848,0.015272992256436241,132
249,2.2051153659820555,0.19134205032484453,0.030190563201904295,0.008871023059871504,False,,,300,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': None, 'model__n_estimators': 300, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7085201793721974,0.6905829596412556,0.6816143497757847,0.6591928251121076,0.6771300448430493,0.6834080717488789,0.016193246713244666,114
250,0.14917025566101075,0.01052664510428513,0.012546730041503907,0.003780553288707022,False,,auto,50,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 50, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.6905829596412556,0.6816143497757847,0.6636771300448431,0.6905829596412556,0.7085201793721974,0.6869955156950672,0.014572266196656436,66
251,0.1465695858001709,0.010030567317559093,0.010993051528930663,0.0006218297230859594,False,,auto,50,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 50, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.6860986547085202,0.6816143497757847,0.6771300448430493,0.6860986547085202,0.7174887892376681,0.6896860986547084,0.014293612063236974,52
252,0.33223371505737304,0.0561900211375385,0.03419203758239746,0.02066501243917191,False,,auto,100,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 100, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.672645739910314,0.672645739910314,0.6502242152466368,0.672645739910314,0.6995515695067265,0.6735426008968611,0.01563730562705175,244
253,0.28776702880859373,0.03634907878088383,0.018399667739868165,0.0038329477767225185,False,,auto,100,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 100, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7085201793721974,0.6816143497757847,0.6322869955156951,0.7085201793721974,0.6905829596412556,0.684304932735426,0.028018832918050775,95
254,0.4234220027923584,0.03946952671456367,0.029435491561889647,0.006472896597637929,False,,auto,150,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 150, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.7085201793721974,0.6905829596412556,0.6412556053811659,0.7040358744394619,0.7130044843049327,0.6914798206278027,0.026209218289152403,32
255,0.47228231430053713,0.0442748778454146,0.025088739395141602,0.00528976307408857,False,,auto,150,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 150, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.695067264573991,0.6771300448430493,0.6502242152466368,0.6995515695067265,0.6995515695067265,0.684304932735426,0.01894054895241515,95
256,0.5492312908172607,0.029278099180861123,0.04043412208557129,0.006974242515312029,False,,auto,200,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 200, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.6905829596412556,0.6771300448430493,0.6591928251121076,0.6905829596412556,0.7174887892376681,0.6869955156950673,0.01910966435216368,61
257,0.5467398166656494,0.049908105192051466,0.03274612426757813,0.00742011083780303,False,,auto,200,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 200, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7130044843049327,0.6771300448430493,0.6457399103139013,0.6860986547085202,0.6905829596412556,0.6825112107623319,0.02185839929498464,119
258,0.8890686988830566,0.05152394299665499,0.060252952575683597,0.004884603017477093,False,,auto,300,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 300, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.695067264573991,0.6771300448430493,0.6322869955156951,0.6995515695067265,0.7085201793721974,0.6825112107623319,0.02711428961045914,119
259,0.912970781326294,0.041967792639481694,0.046982622146606444,0.011103705617709386,False,,auto,300,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'auto', 'model__n_estimators': 300, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7085201793721974,0.6636771300448431,0.6367713004484304,0.7085201793721974,0.7085201793721974,0.6852017937219731,0.02979954749028909,80
260,0.16472887992858887,0.02445320602666668,0.015156888961791992,0.00415382080963024,False,,sqrt,50,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 50, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.6860986547085202,0.6860986547085202,0.6412556053811659,0.6771300448430493,0.6905829596412556,0.6762331838565021,0.018026682728467972,215
261,0.1772749900817871,0.020281989108898908,0.018156099319458007,0.0047998529893975,False,,sqrt,50,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 50, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.7085201793721974,0.672645739910314,0.6681614349775785,0.672645739910314,0.695067264573991,0.683408071748879,0.015688659806758647,108
262,0.3026827335357666,0.02263845146543552,0.025208187103271485,0.005174971888926727,False,,sqrt,100,mean,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 100, 'preprocess__num_transform__numimputer__strategy': 'mean'}",0.6905829596412556,0.672645739910314,0.6367713004484304,0.6995515695067265,0.7085201793721974,0.6816143497757847,0.02536705941476406,134
263,0.29582843780517576,0.019206086993146354,0.021674966812133788,0.005761085972722474,False,,sqrt,100,median,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 100, 'preprocess__num_transform__numimputer__strategy': 'median'}",0.6771300448430493,0.6591928251121076,0.6681614349775785,0.6591928251121076,0.7174887892376681,0.6762331838565021,0.021673625064743605,215
