,player_name,TEAM,AFFILIATION,YEAR,ROUND,ROUND.1,OVERALL,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
24,Tre Mann,Oklahoma City Thunder,Florida,2021.0,1,18,18,Florida,SEC,24,76.2,109.9,25.9,53.6,57.93,2.6,17.1,22.3,19.6,74,89,0.831,88,178,0.494,45,112,0.402,0.6,2.4,30.7,So,5-Jun,1,4.27997,124.102,3.0,2021,70993,all,96.0,1.22059082,46.0,77.0,47.0,111.0,0.5974,0.4234,0.0,0.0,,18.0,98.18,92.484,3.83105,154.151,5.83219,4.25241,1.57978,6.3034099999999995,31.9167,4.67312,1.63029,0.6667,4.9583,5.625,3.4583,1.375,0.1667,16.0417,Wing G,8.34421
25,Kai Jones,New York Knicks,Texas,2021.0,1,19,19,Texas,B12,27,36.5,99.7,13.2,54.6,56.1,7.1,15.8,4.3,23.3,14,22,0.636,31,52,0.596,7,24,0.292,6.8,1.9,28.9,Fr,11-Jun,22.0,0.553901,94.8552,4.7,2020,71905,all,89.8,0.43479284,28.0,37.0,3.0,15.0,0.7568,0.2,22.0,24.0,0.9167,19.0,92.1376,87.8445,2.29944,94.9982,5.0473,-0.8721780000000001,5.91948,3.5663099999999996,16.7778,-0.597038,4.16335,1.0,2.2222,3.2222,0.3704,0.5185,1.1111,3.5926,PF/C,3.20779
26,Kai Jones,New York Knicks,Texas,2021.0,1,19,19,Texas,B12,26,54.2,116.6,18.2,62.6,64.55,10.0,13.4,5.4,19.1,51,74,0.6890000000000001,70,109,0.642,13,34,0.382,4.2,2.1,51.7,So,11-Jun,22,2.77885,120.814,4.6,2021,71905,all,89.8,0.44446049,61.0,82.0,9.0,27.0,0.7439,0.3333,46.0,50.0,0.92,19.0,95.5083,90.3704,2.88256,120.86399999999999,7.84197,4.01797,3.8239900000000002,6.66978,22.8462,3.6766400000000004,2.9931400000000004,1.9615,2.8846,4.8462,0.6154,0.8462,0.9231,8.8462,PF/C,3.2881099999999996
27,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Saint Louis,A10,33,59.5,95.7,19.1,48.1,51.55,6.9,15.3,7.5,17.7,44,60,0.733,50,117,0.42700000000000005,35,96,0.365,2.6,1.8,28.2,Fr,7-Jun,20,0.702206,95.4292,4.4,2017,45313,all,,0.56821421,35.0,67.0,15.0,50.0,0.5224,0.3,0.0,0.0,,,103.815,102.685,2.16952,143.613,-0.264806,-1.29918,1.0343799999999999,-0.560563,24.0,-0.8983559999999999,0.337793,1.4242,3.0909,4.5152,0.7576,0.6970000000000001,0.5152,7.5455,Stretch 4,7.367719999999999
28,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Saint Louis,A10,32,68.2,109.1,16.3,52.6,57.42,3.9,13.2,5.1,17.1,66,84,0.7859999999999999,37,82,0.451,49,128,0.38299999999999995,2.7,0.8,40.0,So,7-Jun,20,1.5506799999999998,103.836,3.4,2018,45313,all,,0.52384696,30.0,53.0,7.0,29.0,0.5660000000000001,0.2414,0.0,0.0,,,104.42299999999999,101.594,2.63562,133.80200000000002,-0.312406,-0.35781799999999997,0.0454118,0.9663700000000001,27.1515,0.591069,0.375301,0.9091,2.9394,3.8485,0.6667,0.3636,0.6364,9.1212,Wing F,8.9103
29,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Tennessee,SEC,13,4.7,130.4,11.2,68.2,66.95,5.3,12.0,14.1,16.1,1,2,0.5,3,5,0.6,3,6,0.5,3.5,1.8,18.2,Fr,7-Jun,13,0.526142,117.314,0.0,2018,49189,all,70.8,2.50065035,3.0,3.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,,98.5951,94.6693,0.612691,11.7073,7.360460000000001,3.3317,4.02875,7.2538100000000005,5.0769,4.09238,3.1614299999999997,0.2308,0.5385,0.7692,0.3846,0.1538,0.1538,1.2308,Wing G,5.38497
30,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Tennessee,SEC,26,10.2,120.5,12.2,63.8,64.09,5.8,8.5,8.4,18.9,2,3,0.667,5,9,0.556,9,20,0.45,0.8,0.8,10.3,So,6-Jun,13,0.499881,112.54799999999999,4.5,2019,49189,all,70.8,1.33318893,4.0,7.0,1.0,2.0,0.5714,0.5,0.0,0.0,,,105.915,100.756,0.571853,22.0749,3.56912,3.95704,-0.387924,2.26175,5.7692,1.90438,0.357365,0.2692,0.4615,0.7308,0.3077,0.0769,0.0385,1.5,Wing F,7.70977
31,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Murray St.,OVC,17,2.7,58.1,23.5,23.3,25.08,3.6,15.7,4.7,14.4,1,2,0.5,2,4,0.5,1,11,0.091,0.0,1.7,13.3,Fr,1-Jun,25.0,-0.192428,58.8908,6.1,2019,66634,all,,3.49857551,1.0,3.0,1.0,1.0,0.3333,1.0,0.0,0.0,,,97.7124,99.9982,0.19844,6.321680000000001,-12.9719,-9.000169999999999,-3.97177,-16.7249,2.8947,-13.3323,-3.3926300000000005,0.0526,0.4211,0.4737,0.3684,0.0526,0.0,0.7368,PF/C,18.3681
32,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Louisiana Lafayette,SB,32,84.8,105.9,22.1,47.8,53.56,7.0,14.9,5.0,13.8,116,140,0.8290000000000001,122,237,0.515,43,153,0.281,1.9,1.2,35.9,Jr,7-Jun,1.0,2.6520099999999998,107.866,3.0,2020,45313,all,,0.40323611,84.0,139.0,40.0,100.0,0.6043,0.4,3.0,4.0,0.75,,106.26899999999999,106.499,2.45382,197.613,-0.864022,0.8344389999999999,-1.6984599999999999,-0.22401999999999997,33.8788,1.2058200000000001,-1.42984,2.2121,4.4242,6.6364,0.7576,0.7576,0.6364,15.4848,Stretch 4,7.77648
33,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Tennessee,SEC,31,40.5,107.2,12.2,48.9,52.71,3.9,10.7,11.7,16.6,17,20,0.85,12,23,0.522,22,69,0.319,2.9,1.6,21.7,Jr,6-Jun,13.0,0.789519,99.3915,3.7,2020,49189,all,70.8,1.76458795,9.0,15.0,3.0,8.0,0.6,0.375,4.0,5.0,0.8,,98.9196,94.9893,1.8178900000000002,84.3235,3.04682,1.58026,1.46656,2.36501,16.1935,0.575684,1.7893299999999999,0.5161,1.5161,2.0323,0.9677,0.4194,0.4194,3.4516,Wing G,8.25007
34,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Alabama A&M,SWAC,30,36.3,92.3,22.6,46.0,48.62,9.2,12.4,4.0,15.1,40,71,0.563,63,137,0.46,0,0,0.0,3.7,1.4,51.8,Fr,7-Jun,5.0,0.385851,92.9889,4.4,2020,71990,all,,0.26918196,39.0,66.0,24.0,71.0,0.5909,0.33799999999999997,2.0,2.0,1.0,,102.12100000000001,108.95,0.9278860000000001,81.0514,-6.37737,-4.6811300000000005,-1.69623,-4.66988,14.6,-2.74215,-1.92773,1.3,1.5333,2.8333,0.2333,0.3667,0.5,5.5333,PF/C,0.0
35,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Mississippi St.,SEC,24,29.3,108.7,15.0,51.0,54.01,2.1,9.5,4.3,14.0,22,31,0.71,14,34,0.41200000000000003,25,67,0.373,1.5,1.2,30.7,Sr,6-Jun,0.0,1.11677,105.319,1.8,2021,45313,all,,0.64289389,7.0,10.0,7.0,24.0,0.7,0.2917,0.0,0.0,,,103.743,100.305,1.47245,56.3899,0.850925,1.3148600000000001,-0.46393999999999996,2.39783,16.375,1.75775,0.640077,0.2917,1.4167,1.7083,0.375,0.3333,0.2083,5.2083,Wing G,9.87037
36,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Wake Forest,ACC,20,37.2,101.6,17.2,47.7,50.49,4.8,14.7,7.5,13.2,13,17,0.765,13,29,0.44799999999999995,19,58,0.32799999999999996,3.7,1.7,19.5,Sr,6-Jun,2.0,0.8626020000000001,101.18799999999999,2.9,2021,49189,all,70.8,1.0,7.0,15.0,6.0,13.0,0.4667,0.4615,1.0,2.0,0.5,,106.59899999999999,99.988,1.4762899999999999,56.106,2.5798400000000004,0.988979,1.59086,1.7753700000000001,16.3333,1.35776,0.41760699999999995,0.619,1.8095,2.4286,0.619,0.4286,0.5238,4.9524,Stretch 4,10.9877
37,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20,Alabama A&M,SWAC,15,73.3,106.1,27.2,56.2,57.69,11.7,14.6,8.0,16.4,40,63,0.635,104,183,0.568,0,2,0.0,2.1,2.0,34.1,So,7-Jun,5,2.5745299999999998,110.568,3.9,2021,71990,all,,0.34286203,80.0,127.0,24.0,56.0,0.6299,0.4286,4.0,5.0,0.8,,94.8766,103.874,2.43122,84.86200000000001,-0.0767934,0.521058,-0.597851,2.6642099999999997,29.8,2.74047,-0.07626110000000001,3.2667,4.2,7.4667,0.8,1.0667,0.6,16.5333,PF/C,0.267696
