,AFFILIATION,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,mp,oreb,dreb,treb,ast,stl,blk,pts,Position,Class
416,Maryland,BE,35,32.2,84.6,15.8,53.4,49.62,7.8,15.9,10.3,31.6,10,33,0.303,38,71,0.535,1,3,0.333,4.4,3.6,44.6,Fr,-0.138586,81.8234,68.8,0.66663427,0.6667,0.3077,1.0,88.4505,84.8035,1.88095,97.9436,4.1910300000000005,-2.14591,6.33694,12.9143,0.8571,1.6571,2.5143,0.6857,0.7429,0.5143,2.5429,Wing F,0
417,Maryland,BE,37,52.0,96.6,16.9,52.0,52.55,10.1,12.6,9.7,25.9,34,65,0.523,77,141,0.546,0,7,0.0,8.2,2.6,43.9,So,0.873782,96.4549,68.8,0.70911538,0.6091,0.3226,0.8889,91.8662,88.8726,2.70487,157.47899999999996,6.74787,-0.254808,7.002680000000002,21.0811,1.9459,2.2703,4.2162,1.0541,0.8919,1.6486,5.0811,C,0
418,Maryland,BE,30,41.0,82.5,18.2,42.3,44.09,9.5,20.4,15.8,32.3,22,43,0.512,45,99,0.455,1,11,0.091,7.8,3.2,39.1,Jr,0.0142863,84.1246,68.8,0.81483333,0.5893,0.2791,1.0,82.306,79.6071,2.99525,138.974,5.69448,-2.7268,8.42128,18.8,1.6333,3.4333,5.0667,1.4667,0.9667,1.3667,3.8333,C,0
419,Maryland,Amer,34,69.4,104.2,24.4,53.2,52.38,13.6,17.4,14.8,18.3,58,126,0.46,160,301,0.532,0,0,0.0,12.1,3.7,41.9,Sr,2.4738,113.36,68.8,0.88059471,0.6503,0.3504,0.9333,83.5631,81.1917,4.671869999999998,230.53,11.6096,1.4018700000000002,10.2077,27.7647,3.2353,4.0294,7.2647,1.7353,1.6176,2.9118,11.1176,C,0
420,Maryland,ACC,38,67.4,114.0,19.2,52.0,54.67,5.9,8.8,15.1,15.1,66,93,0.71,129,237,0.544,28,92,0.304,2.0,1.1,28.3,Fr,3.33592,121.069,98.4,1.69234141,0.72,0.4161,0.8571,103.534,95.6694,2.96805,157.377,6.985710000000001,5.26117,1.72455,27.1316,1.3684,2.2895,3.6579,2.3158,0.5263,0.5,10.7368,Wing F,0
421,Maryland,ACC,40,70.9,119.0,20.4,50.8,52.75,7.2,7.9,16.3,10.6,64,96,0.667,159,296,0.537,35,120,0.292,1.6,1.3,23.1,So,3.82373,125.792,98.4,2.58139532,0.6711,0.4041,1.0,105.018,98.0059,3.04754,174.176,7.210660000000002,6.01219,1.19846,28.375,1.775,2.125,3.9,2.775,0.625,0.425,12.175,Wing F,0
422,Maryland,ACC,39,80.2,119.2,23.9,53.0,55.46,4.9,10.8,16.0,12.3,98,131,0.748,156,306,0.51,103,280,0.368,0.8,1.4,22.4,Jr,5.08049,132.578,98.4,1.63768116,0.6385,0.4148,1.0,101.543,93.9603,3.89272,215.962,8.263110000000001,6.7892,1.47391,32.0,1.45,3.2,4.65,2.825,0.775,0.225,18.275,Wing F,0
423,Maryland,B10,32,70.0,105.7,19.6,52.9,55.97,7.3,16.4,6.3,17.5,66,94,0.7020000000000001,70,158,0.443,45,102,0.441,3.0,1.8,36.2,Fr,2.28961,110.486,83.8,0.57406504,0.6282,0.2658,0.6667,99.1523,94.8781,3.31066,177.50400000000005,4.20945,2.06726,2.1421900000000003,27.8485,1.7576,4.2727,6.0303,0.9394,0.8788,0.7879,10.5152,Stretch 4,0
424,Maryland,B10,11,25.9,91.3,24.2,41.6,47.05,11.1,21.1,12.6,24.5,24,29,0.828,27,61,0.443,10,40,0.25,3.0,1.7,28.7,So,1.0788,98.1559,83.8,0.65625108,0.5135,0.3636,1.0,98.0835,95.4662,3.50547,62.9205,2.02508,-0.456914,2.482,29.3636,2.4545,5.6364,8.0909,1.9091,0.8182,0.8182,9.8182,Stretch 4,0
425,North Carolina,SEC,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Sr,-0.320775,-8.17549,,,,,,112.292,106.966,0.06697589999999999,0.10243900000000003,-1.14162,-0.670166,-0.471456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
426,North Carolina,MEAC,16,5.6,83.1,13.9,35.7,36.79,4.8,5.0,20.0,23.9,1,2,0.5,5,10,0.5,0,4,0.0,0.0,2.5,14.3,Fr,-0.172536,73.562,,1.75,1.0,0.2857,,101.027,104.657,0.33809,11.202,-5.09662,-3.93135,-1.16527,4.375,0.1875,0.1875,0.375,0.4375,0.1875,0.0,0.6875,Wing G,1
427,North Carolina,BE,35,32.2,84.6,15.8,53.4,49.62,7.8,15.9,10.3,31.6,10,33,0.303,38,71,0.535,1,3,0.333,4.4,3.6,44.6,Fr,-0.138586,81.8234,68.8,0.66663427,0.6667,0.3077,1.0,88.4505,84.8035,1.88095,97.9436,4.1910300000000005,-2.14591,6.33694,12.9143,0.8571,1.6571,2.5143,0.6857,0.7429,0.5143,2.5429,Wing F,1
428,North Carolina,BE,37,52.0,96.6,16.9,52.0,52.55,10.1,12.6,9.7,25.9,34,65,0.523,77,141,0.546,0,7,0.0,8.2,2.6,43.9,So,0.873782,96.4549,68.8,0.70911538,0.6091,0.3226,0.8889,91.8662,88.8726,2.70487,157.47899999999996,6.74787,-0.254808,7.002680000000002,21.0811,1.9459,2.2703,4.2162,1.0541,0.8919,1.6486,5.0811,C,1
429,North Carolina,BE,30,41.0,82.5,18.2,42.3,44.09,9.5,20.4,15.8,32.3,22,43,0.512,45,99,0.455,1,11,0.091,7.8,3.2,39.1,Jr,0.0142863,84.1246,68.8,0.81483333,0.5893,0.2791,1.0,82.306,79.6071,2.99525,138.974,5.69448,-2.7268,8.42128,18.8,1.6333,3.4333,5.0667,1.4667,0.9667,1.3667,3.8333,C,1
430,North Carolina,Amer,34,69.4,104.2,24.4,53.2,52.38,13.6,17.4,14.8,18.3,58,126,0.46,160,301,0.532,0,0,0.0,12.1,3.7,41.9,Sr,2.4738,113.36,68.8,0.88059471,0.6503,0.3504,0.9333,83.5631,81.1917,4.671869999999998,230.53,11.6096,1.4018700000000002,10.2077,27.7647,3.2353,4.0294,7.2647,1.7353,1.6176,2.9118,11.1176,C,1
431,North Carolina,ACC,38,67.4,114.0,19.2,52.0,54.67,5.9,8.8,15.1,15.1,66,93,0.71,129,237,0.544,28,92,0.304,2.0,1.1,28.3,Fr,3.33592,121.069,98.4,1.69234141,0.72,0.4161,0.8571,103.534,95.6694,2.96805,157.377,6.985710000000001,5.26117,1.72455,27.1316,1.3684,2.2895,3.6579,2.3158,0.5263,0.5,10.7368,Wing F,1
432,North Carolina,ACC,40,70.9,119.0,20.4,50.8,52.75,7.2,7.9,16.3,10.6,64,96,0.667,159,296,0.537,35,120,0.292,1.6,1.3,23.1,So,3.82373,125.792,98.4,2.58139532,0.6711,0.4041,1.0,105.018,98.0059,3.04754,174.176,7.210660000000002,6.01219,1.19846,28.375,1.775,2.125,3.9,2.775,0.625,0.425,12.175,Wing F,1
433,North Carolina,ACC,39,80.2,119.2,23.9,53.0,55.46,4.9,10.8,16.0,12.3,98,131,0.748,156,306,0.51,103,280,0.368,0.8,1.4,22.4,Jr,5.08049,132.578,98.4,1.63768116,0.6385,0.4148,1.0,101.543,93.9603,3.89272,215.962,8.263110000000001,6.7892,1.47391,32.0,1.45,3.2,4.65,2.825,0.775,0.225,18.275,Wing F,1
434,North Carolina,B10,32,70.0,105.7,19.6,52.9,55.97,7.3,16.4,6.3,17.5,66,94,0.7020000000000001,70,158,0.443,45,102,0.441,3.0,1.8,36.2,Fr,2.28961,110.486,83.8,0.57406504,0.6282,0.2658,0.6667,99.1523,94.8781,3.31066,177.50400000000005,4.20945,2.06726,2.1421900000000003,27.8485,1.7576,4.2727,6.0303,0.9394,0.8788,0.7879,10.5152,Stretch 4,1
435,North Carolina,B10,11,25.9,91.3,24.2,41.6,47.05,11.1,21.1,12.6,24.5,24,29,0.828,27,61,0.443,10,40,0.25,3.0,1.7,28.7,So,1.0788,98.1559,83.8,0.65625108,0.5135,0.3636,1.0,98.0835,95.4662,3.50547,62.9205,2.02508,-0.456914,2.482,29.3636,2.4545,5.6364,8.0909,1.9091,0.8182,0.8182,9.8182,Stretch 4,1
436,Kentucky,SEC,37,61.8,101.1,21.3,47.0,49.75,4.2,11.5,9.5,14.8,77,126,0.611,108,236,0.458,26,77,0.338,1.6,1.8,40.3,Fr,1.83619,108.848,98.2,0.90191524,0.629,0.2679,0.8261,102.116,95.8859,2.87974,163.536,2.72071,1.43527,1.28545,24.8108,0.8649,2.7568,3.6216,1.2432,0.7568,0.3514,10.027,Wing G,0
437,Southern California,P12,36,67.3,108.0,19.1,48.3,53.05,6.0,13.6,22.5,19.7,77,109,0.706,80,157,0.51,21,74,0.284,3.9,4.1,47.2,Fr,2.07288,109.135,73.4,1.95308808,0.6262,0.2549,0.8182,99.2402,94.7375,3.19273,219.037,7.1726,2.76649,4.40611,27.0,1.3889,3.3333,4.7222,3.4722,1.9167,1.0278,8.3333,Combo G,0
438,Ohio State,B10,33,23.2,117.1,18.0,57.0,58.8,4.9,18.9,9.5,13.3,19,28,0.679,26,54,0.481,18,39,0.462,6.7,2.0,30.1,Fr,1.11495,118.074,94.4,1.3079462,0.5588,0.35,0.75,91.2173,86.9556,1.3803,70.5637,6.44336,2.22131,4.22205,9.9091,0.3939,1.6667,2.0606,0.5152,0.3333,0.5758,3.7879,Stretch 4,0
439,Ohio State,B10,33,73.2,109.4,18.7,51.1,54.91,5.2,16.5,7.2,13.5,70,89,0.787,105,200,0.525,36,111,0.324,4.3,1.4,28.6,So,2.63166,111.296,94.4,0.80001462,0.7174,0.3611,0.9333,98.6429,94.448,3.74317,196.853,4.70205,1.6678099999999998,3.03424,31.5152,1.4545,4.9091,6.3636,1.0909,0.7273,1.2424,11.7576,Stretch 4,0
440,Ohio State,B10,9,16.3,102.6,22.1,52.0,53.94,6.7,17.6,12.2,17.4,10,14,0.7140000000000001,34,59,0.5760000000000001,3,15,0.2,6.5,0.6,18.9,Jr,1.65588,107.669,94.4,0.85709691,0.8519,0.3548,1.0,99.7686,98.6722,2.41659,42.0268,3.5676400000000004,0.5196270000000001,3.04801,23.3333,1.3333,3.8889,5.2222,1.3333,0.2222,1.3333,9.6667,PF/C,0
441,Ohio State,B10,34,81.8,114.5,27.5,54.4,57.73,5.7,24.5,10.5,11.8,112,141,0.794,181,331,0.547,66,184,0.359,5.9,1.6,27.4,Jr,5.00365,131.50799999999998,94.4,0.90326292,0.6715,0.4588,0.9444,93.7832,88.7301,4.62406,254.42,8.215869999999999,4.15602,4.05985,33.0882,1.5294,7.1765,8.7059,1.6471,0.9118,1.6471,19.7647,PF/C,0
442,Southern California,P12,34,45.5,101.7,18.7,52.0,52.39,9.5,11.1,5.0,16.8,41,80,0.512,89,170,0.524,0,1,0.0,8.2,1.7,46.8,Fr,1.10009,104.374,92.6,0.5,0.625,0.3636,0.8182,100.005,95.8989,2.08812,129.951,4.43244,0.0416969,4.39074,18.4706,1.5882,2.0294,3.6176,0.5294,0.5588,1.5882,6.4412,C,0
443,Southern California,P12,36,78.1,111.4,22.8,55.3,59.51,7.5,20.3,8.9,16.9,129,174,0.741,201,364,0.552,1,2,0.5,4.9,1.4,47.5,So,3.36131,117.956,92.6,0.6579035,0.6667,0.4270000000000001,0.8539,101.731,97.1149,3.44756,232.298,2.93749,0.664421,2.27307,31.3333,2.0278,5.75,7.7778,1.3889,0.7778,1.5278,14.8333,PF/C,0
444,Southern California,P12,34,72.1,110.2,25.1,53.8,57.41,7.3,21.2,10.0,15.1,111,152,0.73,193,352,0.5479999999999999,12,40,0.3,6.3,1.5,38.8,Jr,3.50837,120.334,92.6,0.77939999,0.674,0.4128,0.8804,98.4822,95.0499,3.66969,226.697,5.08087,1.09358,3.9873,30.9706,1.8824,5.5588,7.4412,1.5588,0.7941,1.7353,15.6765,C,0
445,Missouri State,MVC,32,74.8,112.6,26.7,54.7,57.67,12.8,29.7,14.0,17.4,107,158,0.677,127,240,0.529,40,102,0.392,0.7,1.2,46.2,Jr,3.8236,123.767,,0.82896226,0.6914,0.4465,1.0,101.79,101.965,2.8289,186.333,3.62282,3.82231,-0.199497,30.2121,3.3333,7.303,10.6364,1.9091,0.6061,0.1818,14.7576,PF/C,0
446,Missouri State,MVC,32,78.5,109.3,27.9,48.0,52.73,11.5,30.6,19.2,15.9,110,145,0.759,128,249,0.514,40,143,0.28,1.5,0.8,37.0,Sr,3.854530000000001,122.814,,1.2702908000000002,0.6337,0.4324,0.8182,97.1451,98.0767,3.41907,212.77,4.95167,4.00732,0.944347,31.1515,3.1515,8.4848,11.6364,2.8485,0.4545,0.4242,15.0,PF/C,0
447,Penn State,B10,33,80.6,96.2,24.6,42.1,48.6,2.2,14.0,26.5,18.0,121,157,0.7709999999999999,108,271,0.399,33,103,0.32,0.9,1.1,42.0,Fr,2.2572,107.111,90.0,1.61624646,0.4388,0.3801,0.0,102.978,98.3529,3.42091,185.854,0.493592,0.29381,0.199782,32.8485,0.6667,4.1212,4.7879,4.2121,0.6667,0.2727,13.2121,Combo G,0
448,Penn State,B10,37,83.3,112.0,29.5,48.2,52.73,3.0,13.4,29.3,12.9,147,184,0.799,157,397,0.395,88,203,0.433,0.9,1.4,30.7,So,5.20015,130.126,90.0,2.18822084,0.446,0.3711,1.0,101.27,96.0237,4.07259,209.77,6.19195,5.52416,0.66778,35.3514,0.8919,4.0541,4.9459,5.027,0.8108,0.2973,19.5946,Scoring PG,0
449,Purdue,B10,35,70.5,120.0,21.8,55.8,59.33,8.4,11.8,21.1,15.3,73,88,0.83,113,218,0.518,47,111,0.423,1.9,1.1,26.7,Jr,4.06265,128.475,76.0,1.9310845,0.7238,0.3246,0.7857,98.8377,93.5242,3.46294,179.312,8.3639,5.5496300000000005,2.81427,28.4857,1.8857,3.0571,4.9429,3.2,0.5429,0.5429,12.5714,Wing F,0
450,Purdue,B10,35,74.5,116.6,24.1,54.4,58.74,8.4,18.6,17.1,15.6,100,120,0.833,129,250,0.516,51,128,0.398,2.0,1.0,31.7,Sr,4.57653,129.334,76.0,1.42250814,0.6593,0.3478,0.9091,97.0164,92.9819,3.98433,206.317,7.55466,5.4962300000000015,2.05843,31.6,2.0286,5.3714,7.4,2.8857,0.5143,0.6,14.6,Stretch 4,0
451,Virginia,ACC,23,17.8,89.9,13.8,46.3,46.43,1.1,7.3,14.2,24.2,5,11,0.455,11,25,0.44,5,15,0.333,0.5,2.5,27.5,Fr,-0.0247418,84.7232,75.8,1.50009574,0.625,0.1111,1.0,90.6235,88.1642,1.42892,37.7301,2.3195900000000003,-1.11635,3.43594,10.6087,0.087,0.6522,0.7391,0.7826,0.3913,0.0435,1.8261,Combo G,0
452,Virginia,ACC,37,54.5,100.2,14.4,44.4,47.87,1.4,14.3,15.8,18.3,26,34,0.765,36,89,0.404,21,63,0.333,1.6,1.4,22.4,So,0.786558,97.3596,75.8,2.24240385,0.5435,0.2619,1.0,99.1808,92.2162,2.77822,129.313,4.70205,1.17799,3.52406,21.8649,0.2162,2.4324,2.6486,2.0,0.4595,0.2703,4.3514,Wing G,0
453,Virginia,ACC,34,67.4,105.6,19.1,47.3,51.3,3.1,17.3,14.0,13.1,52,67,0.7759999999999999,68,159,0.428,32,86,0.3720000000000001,0.6,1.3,27.3,Jr,2.16386,110.067,75.8,1.85719841,0.4941,0.3562,0.6667,93.8107,87.2307,3.90084,153.735,4.8506,1.58106,3.26955,27.3529,0.6471,3.7353,4.3824,1.9118,0.5294,0.1176,8.3529,Wing G,0
454,Virginia,ACC,34,79.9,122.6,19.4,55.2,59.9,1.4,14.9,19.6,10.9,76,85,0.894,75,159,0.472,57,132,0.4320000000000001,0.6,1.8,29.2,Sr,4.43306,127.444,75.8,3.0572178,0.5568,0.3662,1.0,91.4933,86.6833,4.73989,180.9,8.58446,5.05995,3.5245,32.0588,0.3529,3.8529,4.2059,3.1471,0.8529,0.1471,11.6765,Combo G,0
455,Southern Methodist,Amer,30,81.7,119.0,15.0,58.6,60.29,1.1,8.9,14.0,18.8,37,51,0.725,61,115,0.53,52,122,0.426,1.0,1.5,21.5,Fr,3.08295,114.155,82.2,1.78262564,0.7115,0.381,1.0,100.473,99.2578,3.36656,151.80200000000005,3.66102,3.04846,0.6125659999999999,32.6667,0.3,2.6667,2.9667,2.7333,0.8,0.2667,10.5,Combo G,0
456,Southern Methodist,Amer,35,88.4,121.0,19.3,55.5,58.15,1.5,11.7,24.2,16.3,69,91,0.758,70,154,0.455,82,194,0.423,1.2,2.2,26.1,So,4.58283,124.272,82.2,2.56458177,0.5741,0.3918,1.0,95.5281,93.7433,4.31919,220.671,7.046639999999999,5.2077,1.83894,35.3714,0.4286,3.6857,4.1143,4.5429,1.2571,0.3143,13.0,Scoring PG,0
457,Southern Methodist,Amer,22,60.6,119.8,24.7,55.1,60.6,2.1,13.5,25.9,15.7,94,111,0.847,67,145,0.462,56,129,0.434,2.3,2.4,40.5,Jr,5.15963,128.338,82.2,1.92000688,0.4844,0.4444,0.5,99.4079,99.3025,3.8038,144.126,5.67384,4.45827,1.21557,36.3636,0.6364,4.0455,4.6818,4.3636,1.4091,0.6364,18.0,Scoring PG,0
458,Louisville,ACC,34,47.7,107.7,17.3,59.0,58.63,11.0,20.8,7.2,22.2,42,77,0.545,79,131,0.603,0,3,0.0,5.0,2.0,57.5,So,1.47863,109.283,91.8,0.62789591,0.7079,0.3571,0.913,91.76,84.8717,2.91503,145.716,6.94298,1.6907900000000002,5.2521900000000015,19.2059,1.9118,3.6176,5.5294,0.7941,0.6471,0.8529,5.8824,C,0
459,Louisville,ACC,36,68.2,111.8,23.5,55.0,56.76,13.3,20.9,9.6,15.1,73,114,0.64,178,318,0.56,5,19,0.263,6.3,3.1,33.8,Jr,3.31152,122.456,91.8,0.75413126,0.6721,0.4104,0.88,91.6831,87.0284,4.0126,252.05,8.55591,3.00336,5.55255,27.6389,3.1389,5.5278,8.6667,1.2778,1.5,1.7222,12.3333,C,0
460,Texas-Arlington,SB,30,54.3,96.3,19.7,44.1,47.41,9.8,19.9,7.0,18.0,35,48,0.7290000000000001,47,95,0.495,29,110,0.264,1.4,1.6,23.4,Fr,0.802483,96.0552,,0.54760853,0.6182,0.325,1.0,99.9477,102.024,1.9118,134.555,-0.6272770000000001,-0.0403494,-0.5869270000000001,21.7097,1.9032,4.0645,5.9677,0.7419,0.6129,0.2581,7.0968,Stretch 4,0
461,Texas-Arlington,SB,15,33.3,110.2,27.6,51.2,55.16,7.5,26.5,20.5,16.0,55,72,0.764,70,127,0.551,27,89,0.303,3.2,1.2,33.3,So,3.43752,119.943,,1.16215991,0.7447,0.4375,1.0,93.1084,95.394,3.5470900000000003,100.969,5.464,2.77303,2.69097,30.5333,2.2667,7.8,10.0667,2.8667,0.6667,0.8,18.4,PF/C,0
462,Texas-Arlington,SB,33,68.4,111.8,27.9,52.4,56.2,5.8,27.8,16.0,13.7,113,150,0.753,138,248,0.556,60,187,0.321,1.9,2.3,34.5,Jr,3.62493,124.002,,1.12122821,0.7,0.4589,0.7778,92.3494,93.1723,3.49711,233.933,5.91867,3.64355,2.2751200000000003,27.8,1.4286,7.1143,8.5429,2.1143,1.2,0.4,17.0571,Stretch 4,0
463,Texas-Arlington,SB,33,80.3,107.7,29.5,51.7,55.27,8.0,20.1,15.2,15.5,113,140,0.807,166,318,0.522,77,227,0.339,2.2,2.1,25.7,Sr,3.62923,120.009,,0.81109525,0.6603,0.3882,0.9,97.5429,97.9921,3.5060300000000004,240.549,3.74738,2.84741,0.8999799999999999,32.2424,2.3333,6.2121,8.5455,2.2121,1.2424,0.6061,20.4848,Stretch 4,0
464,California-Los Angeles,P12,36,39.0,104.8,14.2,47.0,48.28,10.6,16.4,2.7,12.5,14,23,0.609,62,132,0.47,0,0,0.0,7.9,1.5,17.4,Fr,0.872086,101.527,92.6,0.47056333,0.6,0.3902,1.0,97.7006,93.3411,1.84219,116.732,3.73674,-0.229508,3.96625,15.6944,1.5,2.3056,3.8056,0.2222,0.3889,1.0833,3.8333,C,0
465,California-Los Angeles,P12,31,64.2,125.0,17.5,59.0,60.55,13.0,20.2,3.9,9.5,34,45,0.7559999999999999,157,266,0.59,0,0,0.0,4.0,0.5,16.9,So,3.63629,126.475,92.6,0.67997517,0.8,0.4917,0.8696,104.106,97.7648,2.87027,167.512,4.61917,3.14682,1.47236,26.8387,3.2258,5.2581,8.4839,0.5484,0.2581,1.0323,11.2258,C,0
466,California-Los Angeles,P12,32,55.7,132.2,16.8,58.7,61.54,10.7,25.5,6.1,5.6,42,47,0.894,150,257,0.584,1,1,1.0,5.1,0.7,18.2,Jr,3.73634,129.89600000000002,92.6,2.28571429,0.8113,0.5222,0.9412,97.7138,93.8926,3.0474,189.469,5.57556,3.32765,2.24791,25.0625,2.1875,6.4688,8.6562,1.0,0.3438,1.3438,10.7812,PF/C,0
467,California-Los Angeles,P12,33,81.2,120.9,17.4,55.2,57.67,9.1,25.8,7.8,9.9,48,58,0.828,117,222,0.527,45,112,0.402,2.8,1.1,17.4,Sr,3.76185,120.832,92.6,1.35290693,0.6557,0.4783,1.0,100.591,97.2638,3.62666,239.61,5.10016,3.01093,2.08923,33.2121,2.6364,8.2121,10.8485,1.3939,0.6667,0.8788,12.6364,PF/C,0
468,Colorado,P12,27,10.5,78.8,20.7,33.3,41.06,4.1,28.1,6.7,23.3,15,23,0.652,7,19,0.368,4,20,0.2,0.7,1.6,59.0,Fr,-0.0909951,82.8552,,0.41674168,0.5,0.2222,,96.8487,92.6626,0.697705,31.3855,-4.817819999999998,-5.49725,0.67943,5.4815,0.1852,1.3333,1.5185,0.1852,0.1481,0.037000000000000005,1.5185,Stretch 4,0
469,Colorado,P12,33,63.8,110.3,24.0,54.8,58.23,6.9,12.4,5.8,16.9,89,119,0.748,83,189,0.439,67,146,0.459,0.9,0.9,35.5,So,2.87596,119.455,,0.36067081,0.5319,0.3438,1.0,102.525,97.7611,2.7608200000000003,139.262,2.24479,2.61709,-0.372295,25.697,1.6364,3.0606,4.697,0.6667,0.3939,0.2424,13.8182,Wing F,0
470,Colorado,P12,33,69.5,106.3,19.9,54.4,56.06,8.0,19.4,4.9,17.9,50,76,0.6579999999999999,89,172,0.517,47,121,0.388,0.8,0.9,25.9,Jr,2.1588700000000003,109.322,,0.43859232,0.5946,0.4,1.0,104.696,101.256,2.6689700000000003,166.512,0.455594,1.42926,-0.973668,27.7353,1.9706,4.7941,6.7647,0.7353,0.4706,0.2059,11.0588,Stretch 4,0
471,Colorado,P12,32,70.5,107.3,22.5,54.2,57.45,7.2,23.2,8.2,17.9,68,87,0.782,80,162,0.494,62,157,0.395,2.6,1.1,27.3,Sr,2.47497,112.74,,0.54689997,0.5161,0.4638,1.0,101.277,96.0516,3.26805,188.238,3.25266,1.54912,1.70354,28.5312,1.75,6.0625,7.8125,1.0938,0.5312,0.6562,12.9375,Stretch 4,0
472,Dayton,A10,29,34.8,92.9,20.8,58.4,57.46,7.3,16.8,5.9,25.6,33,64,0.516,56,86,0.6509999999999999,2,15,0.133,8.3,1.0,63.4,Fr,0.413901,95.4475,79.8,0.33335812,0.7188,0.4348,1.0,104.641,103.174,1.35938,87.2099,-1.41812,-3.80089,2.3827700000000003,15.1034,0.8276,2.0345,2.8621,0.4483,0.2414,1.069,5.2069,C,0
473,Washington,P12,25,71.6,113.6,31.7,53.5,55.8,4.0,14.0,35.5,15.6,109,168,0.649,157,313,0.502,52,126,0.413,3.1,2.4,38.3,Fr,5.73345,133.474,99.2,1.85,0.6174,0.4343,0.9333,109.389,104.932,2.95682,172.067,7.582089999999999,6.54689,1.0352,35.68,1.32,4.4,5.72,5.92,1.56,1.2,23.16,Scoring PG,1
474,California-Los Angeles,P12,36,87.6,129.4,20.1,66.8,67.26,3.2,14.3,31.4,18.9,66,98,0.6729999999999999,109,149,0.732,80,194,0.412,2.1,2.8,28.6,Fr,5.63036,133.219,99.6,3.07867505,0.7833,0.5172,0.925,99.8459,95.9566,4.0114,275.837,11.0424,8.18346,2.85898,35.0556,0.9167,5.0833,6.0,7.6111,1.8333,0.7778,14.5556,Scoring PG,1
475,Duke,ACC,29,65.3,108.9,25.4,50.7,56.61,4.9,19.7,12.4,17.7,118,139,0.8490000000000001,125,248,0.504,40,117,0.342,3.2,2.3,38.1,Fr,4.29884,124.125,99.4,0.81577449,0.627,0.377,0.8571,96.6201,89.1819,4.59476,209.644,6.47515,3.1756900000000003,3.29946,33.3103,1.3448,6.0,7.3448,2.1379,1.3448,1.1379,16.8276,Wing F,1
476,Kansas,MEAC,26,43.8,91.5,26.1,51.9,53.52,10.2,18.8,12.3,27.2,41,70,0.586,84,162,0.519,0,0,0.0,2.0,0.7,43.2,Sr,0.723205,95.7298,,0.42371759,,,,97.0446,106.05,1.27548,92.3121,-4.95735,-3.3989800000000003,-1.55837,18.2692,1.5769,3.2308,4.8077,0.9615,0.2308,0.3462,8.0385,,1
477,Kansas,B12,35,74.0,108.2,27.3,55.2,55.95,8.7,17.4,18.2,18.4,98,173,0.5660000000000001,186,339,0.5489999999999999,34,90,0.378,3.5,3.1,40.3,Fr,4.0904099999999985,125.652,100.0,1.07216571,0.6895,0.3691,0.8507,95.418,89.03200000000002,4.2153800000000015,249.205,9.08058,4.44679,4.63379,30.7714,2.3143,5.0571,7.3714,2.9714,1.6857,1.0571,16.3429,Wing F,1
478,Kentucky,SEC,36,69.8,110.7,27.6,49.7,54.81,2.1,12.2,28.6,15.8,156,211,0.7390000000000001,197,379,0.52,17,69,0.246,0.7,2.7,47.1,Fr,4.17697,127.661,99.0,1.89651191,0.6453,0.375,0.9524,96.0513,90.564,3.93508,219.063,7.1429300000000016,4.40484,2.73808,29.5556,0.5833,3.3889,3.9722,4.5833,1.4722,0.1944,16.6944,Scoring PG,1
479,Florida State,ACC,32,59.9,118.8,20.0,56.8,61.37,7.7,25.0,7.5,15.7,92,118,0.78,99,167,0.593,31,89,0.348,6.2,2.4,46.1,Fr,3.4081900000000003,124.439,98.6,0.77080003,0.6822,0.4333,0.8718,92.6767,85.7333,3.92563,213.687,8.94668,3.5937,5.35299,26.1875,1.75,6.0938,7.8438,1.1562,1.1562,1.5312,11.9688,Stretch 4,1
480,Arizona,P12,37,77.0,130.1,21.5,58.4,63.45,10.0,17.5,5.6,9.8,137,164,0.835,116,213,0.545,69,163,0.423,1.8,0.8,43.6,Fr,5.46917,138.089,93.0,0.8000185000000001,0.65,0.4513,0.8333,99.0583,94.657,3.66462,203.764,7.77584,6.9491,0.826736,30.8108,2.3784,4.8108,7.1892,0.8649,0.4054,0.5135,15.5676,Stretch 4,1
481,Gonzaga,WCC,39,43.1,120.6,24.8,67.6,70.32,12.2,23.2,4.4,20.2,110,148,0.743,125,186,0.672,10,21,0.476,9.8,1.5,71.5,Fr,2.63966,131.082,94.2,0.26668833,0.748,0.5085,0.8333,79.0742,77.1749,3.09468,185.367,9.54386,2.60042,6.94344,17.2308,1.6923,4.2051,5.8974,0.4103,0.4615,1.7692,10.0,C,1
