,AFFILIATION,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,mp,oreb,dreb,treb,ast,stl,blk,pts,Position,Class
1121,Vanderbilt,SEC,32,67.3,107.8,25.9,49.3,56.18,8.8,12.7,13.5,17.9,141,189,0.746,144,284,0.507,0,8,0.0,1.3,2.3,64.7,Fr,3.4277300000000004,121.191,90.6,0.7887145999999999,0.6647,0.2719,0.9524,98.4529,93.1325,3.11808,169.34,4.86486,3.215,1.64986,27.0312,1.9375,3.3125,5.25,1.75,1.0938,0.375,13.4062,PF/C,0
1122,Vanderbilt,SEC,34,78.4,105.3,25.5,50.0,54.42,6.5,12.8,16.2,18.6,120,167,0.7190000000000001,132,268,0.493,39,113,0.345,1.7,1.9,43.8,So,3.53606,117.422,90.6,0.91953261,0.5974,0.3509,0.907,98.9455,94.7594,3.50045,199.354,5.25319,3.83743,1.41576,31.7059,1.6765,3.8529,5.5294,2.3529,1.0294,0.5588,14.7353,Wing G,0
1123,Vanderbilt,SEC,36,79.5,111.6,25.6,57.0,58.03,8.4,12.1,12.6,16.1,95,157,0.605,144,270,0.5329999999999999,66,156,0.423,1.4,2.4,36.9,Sr,4.5133800000000015,125.241,90.6,0.78481589,0.679,0.3148,1.0,98.1097,92.6213,3.72256,208.04,8.415560000000001,6.21256,2.20301,32.1389,2.1389,3.4167,5.5556,1.7222,1.2778,0.4444,16.1389,Wing G,0
1124,Florida State,ACC,34,52.7,108.1,19.4,65.7,62.72,11.8,18.4,2.5,20.5,59,117,0.504,117,178,0.657,0,0,0.0,13.5,2.3,65.7,Jr,1.91989,111.187,14.2,0.16000272,0.7304,0.5238,0.9063,83.2547,79.6337,3.45769,182.439,9.00623,0.273267,8.73297,21.1471,2.1765,3.7353,5.9118,0.2353,0.8529,2.4118,8.6176,C,0
1125,Florida State,ACC,35,68.9,106.8,20.2,60.6,60.17,13.6,19.7,3.6,21.7,64,116,0.552,157,259,0.606,0,0,0.0,9.5,1.6,44.8,Sr,2.67737,112.327,14.2,0.21915903,0.6769,0.3906,0.9643,87.9861,83.5886,4.09187,222.254,7.70478,1.60206,6.10272,27.9714,3.0571,5.0286,8.0857,0.4571,0.7429,2.3429,10.8,C,0
1126,Marquette,BE,37,68.8,121.0,19.5,54.9,56.44,9.5,18.7,11.4,8.7,77,125,0.616,116,209,0.555,42,117,0.359,3.3,2.8,38.3,Jr,3.88377,125.624,,1.93339909,0.6617,0.3733,1.0,96.4249,90.7723,3.45028,222.571,10.056,6.51865,3.53735,27.5946,2.2432,4.5405,6.7838,1.5676,1.2973,0.8649,11.7568,Wing F,0
1127,Marquette,BE,35,82.4,122.3,22.0,56.8,59.85,7.0,20.5,13.5,9.8,119,162,0.735,156,259,0.602,61,177,0.345,3.1,4.3,37.2,Sr,5.48984,132.374,,1.65913615,0.7485,0.3182,1.0,84.8446,81.1209,5.17007,311.9790000000001,13.2884,7.37385,5.9145900000000005,32.9429,2.0,6.4,8.4,2.0857,2.5143,1.0,17.5429,Wing G,0
1128,Michigan State,B10,37,27.6,111.5,16.4,55.6,57.71,10.8,23.1,14.1,20.6,32,52,0.615,45,80,0.563,0,1,0.0,2.5,3.0,64.2,Fr,1.09304,112.083,86.4,1.29170529,,,,89.2147,83.4226,1.68358,98.4134,9.28284,3.35587,5.92697,11.3243,1.0541,2.2432,3.2973,0.8378,0.5676,0.2432,3.2973,,0
1129,Michigan State,B10,37,63.6,114.3,21.8,52.8,56.17,10.4,24.6,23.3,18.1,86,128,0.672,137,249,0.55,2,16,0.125,4.1,2.9,48.3,So,3.33177,122.225,86.4,1.80640929,0.6744,0.4167,1.0,89.1542,84.3544,3.72302,227.649,11.6835,5.11453,6.568980000000002,25.5405,2.1892,5.5405,7.7297,3.027,1.2162,0.9189,9.8919,PF/C,0
1130,Michigan State,B10,33,74.2,107.7,25.8,47.8,51.92,9.6,23.4,31.1,18.0,96,138,0.696,107,238,0.45,36,99,0.364,4.1,3.5,40.9,Jr,3.93539,123.161,86.4,1.80264884,0.5882,0.3456,1.0,91.5449,84.4545,4.37171,236.783,12.4099,5.84921,6.5607,30.0,2.4848,6.1212,8.6061,4.1515,1.7273,1.1515,12.6667,Stretch 4,0
1131,Michigan State,B10,37,82.8,107.3,28.2,50.4,54.22,8.2,28.5,24.2,19.7,125,173,0.723,160,338,0.473,52,134,0.388,3.4,2.7,36.7,Sr,4.64124,124.752,86.4,1.25893629,0.6121,0.341,0.9286,83.1827,77.9306,5.56188,304.211,11.3117,4.6544,6.65732,33.2162,2.1351,8.4865,10.6216,3.8108,1.4595,0.973,16.2432,Stretch 4,0
1132,California-Santa Barbara,BW,29,78.5,106.5,29.5,53.3,57.74,7.3,12.8,19.8,17.4,138,194,0.711,124,244,0.508,45,115,0.391,2.3,1.4,54.0,So,3.69448,118.395,,0.83749007,0.6698,0.3841,0.8182,99.0535,98.6335,3.03837,160.732,4.753,3.87305,0.8799530000000001,31.5517,1.8621,3.5517,5.4138,2.3103,0.7241,0.5862,17.9655,Wing G,0
1133,California-Santa Barbara,BW,30,83.4,112.2,32.6,54.2,59.44,6.0,16.3,23.6,15.6,161,201,0.8009999999999999,151,298,0.507,63,155,0.406,1.6,2.3,44.4,Jr,5.23105,130.122,,1.01189291,0.6641,0.3899,1.0,99.3098,98.3795,3.30418,187.64,6.10717,5.69428,0.412892,33.6333,1.5333,4.7333,6.2667,2.8333,1.2667,0.4667,21.7333,Wing G,0
1134,California-Santa Barbara,BW,29,84.7,113.1,29.1,53.0,56.61,4.9,13.5,19.2,15.1,124,174,0.713,126,270,0.467,67,157,0.4270000000000001,2.2,1.9,40.7,Sr,4.74175,124.66,,1.19715727,0.6548,0.3817,1.0,102.081,102.314,2.82713,174.73,4.22884,4.93197,-0.703128,34.4828,1.4138,4.3103,5.7241,2.931,1.0345,0.6897,19.8966,Wing G,0
1135,Baylor,B12,33,35.3,109.5,16.7,63.5,62.66,10.4,14.2,2.5,21.4,40,70,0.5710000000000001,66,104,0.635,0,0,0.0,5.7,1.7,67.3,Fr,1.39719,109.012,60.8,0.2121,,,,101.646,95.9331,1.71273,103.731,3.71568,1.45018,2.2655,16.3333,1.3939,2.0303,3.4242,0.2121,0.4848,0.8788,5.2121,,0
1136,Baylor,B12,35,58.3,124.4,16.5,69.1,70.35,9.5,14.4,2.4,19.3,62,86,0.721,130,188,0.691,0,0,0.0,3.4,1.2,45.7,So,3.20243,124.081,60.8,0.22726911,0.7967,0.4923,0.9103,99.0395,93.2629,2.68985,146.535,5.29881,4.35961,0.939201,23.4857,1.7714,3.3143,5.0857,0.2857,0.4571,0.7714,9.2,PF/C,0
1137,Baylor,B12,30,77.6,109.3,21.2,53.4,57.67,11.3,18.2,6.0,18.5,107,156,0.6859999999999999,134,249,0.5379999999999999,0,2,0.0,5.5,1.8,62.2,Jr,3.19353,114.579,60.8,0.4193642,0.7414,0.3609,0.8769,93.5673,91.7151,3.79231,193.507,4.43228,1.5242,2.90808,31.1667,2.8,4.8333,7.6333,0.8667,0.9333,1.5,12.5,PF/C,0
1138,Baylor,B12,37,74.6,116.7,19.2,57.1,62.87,10.7,18.6,6.5,19.9,132,170,0.7759999999999999,145,257,0.564,3,5,0.6,6.5,1.8,64.9,Sr,3.73017,120.367,60.8,0.52113189,0.7315,0.3333,0.8986,94.3303,89.5366,3.81235,233.362,8.23581,3.5577300000000003,4.6780800000000005,29.9459,2.5946,4.8649,7.4595,1.0,0.9189,1.8108,11.6486,PF/C,0
1139,Baylor,B12,36,59.3,107.8,23.3,48.9,54.44,7.6,16.0,11.3,18.6,92,112,0.821,113,238,0.475,24,67,0.358,2.7,1.6,36.7,Fr,2.78875,117.34,99.2,0.76560917,0.6341,0.391,0.9333,98.0693,92.523,2.85924,160.106,4.1978,2.62319,1.57461,24.4444,1.5,3.4167,4.9167,1.3611,0.6389,0.6111,10.8333,PF/C,0
